account.id,account.name,account.eab_kid,account.contact,account.created_at,account.jwk,account.alg,order.id,order.name,order.status.id,order.status.name,order.notbefore,order.notafter,order.expires,order.identifiers,authorization.id,authorization.name,authorization.type,authorization.value,authorization.expires,authorization.token,authorization.created_at,authorization.status.id,authorization.status.name,challenge.id,challenge.name,challenge.token,challenge.expires,challenge.type,challenge.keyauthorization,challenge.created_at,challenge.status.id,challenge.status.name
1,QMSCUs0MH1j1,kid01,"[""mailto:grindsa3@bar.local""]",2020-07-30 14:52:20,"{""crv"": ""P-256"", ""kty"": ""EC"", ""x"": ""-rKMCLQ5QsdEPxLUj_PCNmd1h2OE8ijI8w9KYkqBmuk"", ""y"": ""GWoJaVTgZBoE95pf0nvhcQcYy1VFadARtJxGMBJ-z9g""}",ES256,1,fBK7HtG3916w,1,invalid,,,2020-07-31 14:53:11,"[{""type"": ""dns"", ""value"": ""foo1.bar.local""}, {""type"": ""dns"", ""value"": ""foo2.bar.local""}]",1,Jd99c5z2Imxq,dns,foo1.bar.local,2020-07-31 14:53:12,- removed - ,2020-07-30 14:53:11,6,expired,1,O4sbT90W92lx,- removed -,2020-07-31 14:53:12,http-01,,2020-07-30 14:53:12,1,invalid
1,QMSCUs0MH1j1,kid01,"[""mailto:grindsa3@bar.local""]",2020-07-30 14:52:20,"{""crv"": ""P-256"", ""kty"": ""EC"", ""x"": ""-rKMCLQ5QsdEPxLUj_PCNmd1h2OE8ijI8w9KYkqBmuk"", ""y"": ""GWoJaVTgZBoE95pf0nvhcQcYy1VFadARtJxGMBJ-z9g""}",ES256,1,fBK7HtG3916w,1,invalid,,,2020-07-31 14:53:11,"[{""type"": ""dns"", ""value"": ""foo1.bar.local""}, {""type"": ""dns"", ""value"": ""foo2.bar.local""}]",1,Jd99c5z2Imxq,dns,foo1.bar.local,2020-07-31 14:53:12,- removed - ,2020-07-30 14:53:11,6,expired,2,pHqvViegHHdy,- removed -,2020-07-31 14:53:12,dns-01,,2020-07-30 14:53:12,2,pending
1,QMSCUs0MH1j1,kid01,"[""mailto:grindsa3@bar.local""]",2020-07-30 14:52:20,"{""crv"": ""P-256"", ""kty"": ""EC"", ""x"": ""-rKMCLQ5QsdEPxLUj_PCNmd1h2OE8ijI8w9KYkqBmuk"", ""y"": ""GWoJaVTgZBoE95pf0nvhcQcYy1VFadARtJxGMBJ-z9g""}",ES256,1,fBK7HtG3916w,1,invalid,,,2020-07-31 14:53:11,"[{""type"": ""dns"", ""value"": ""foo1.bar.local""}, {""type"": ""dns"", ""value"": ""foo2.bar.local""}]",2,k47Ddfr7Moim,dns,foo2.bar.local,2020-07-31 14:53:12,- removed - ,2020-07-30 14:53:11,6,expired,3,el9cfdFOWee3,- removed -,2020-07-31 14:53:12,http-01,,2020-07-30 14:53:12,1,invalid
1,QMSCUs0MH1j1,kid01,"[""mailto:grindsa3@bar.local""]",2020-07-30 14:52:20,"{""crv"": ""P-256"", ""kty"": ""EC"", ""x"": ""-rKMCLQ5QsdEPxLUj_PCNmd1h2OE8ijI8w9KYkqBmuk"", ""y"": ""GWoJaVTgZBoE95pf0nvhcQcYy1VFadARtJxGMBJ-z9g""}",ES256,1,fBK7HtG3916w,1,invalid,,,2020-07-31 14:53:11,"[{""type"": ""dns"", ""value"": ""foo1.bar.local""}, {""type"": ""dns"", ""value"": ""foo2.bar.local""}]",2,k47Ddfr7Moim,dns,foo2.bar.local,2020-07-31 14:53:12,- removed - ,2020-07-30 14:53:11,6,expired,4,bLDhYDIhFAMz,- removed -,2020-07-31 14:53:12,dns-01,,2020-07-30 14:53:12,2,pending
1,QMSCUs0MH1j1,kid01,"[""mailto:grindsa3@bar.local""]",2020-07-30 14:52:20,"{""crv"": ""P-256"", ""kty"": ""EC"", ""x"": ""-rKMCLQ5QsdEPxLUj_PCNmd1h2OE8ijI8w9KYkqBmuk"", ""y"": ""GWoJaVTgZBoE95pf0nvhcQcYy1VFadARtJxGMBJ-z9g""}",ES256,2,ssg6hitaZleN,1,invalid,,,2020-07-31 14:54:01,"[{""type"": ""dns"", ""value"": ""foo1.bar.local""}, {""type"": ""dns"", ""value"": ""foo2.bar.local""}]",3,yeh0SqUSirhX,dns,foo1.bar.local,2020-07-31 14:54:01,- removed - ,2020-07-30 14:54:01,6,expired,5,wCHIrOwo95Rg,- removed -,2020-07-31 14:54:01,http-01,,2020-07-30 14:54:01,1,invalid
1,QMSCUs0MH1j1,kid01,"[""mailto:grindsa3@bar.local""]",2020-07-30 14:52:20,"{""crv"": ""P-256"", ""kty"": ""EC"", ""x"": ""-rKMCLQ5QsdEPxLUj_PCNmd1h2OE8ijI8w9KYkqBmuk"", ""y"": ""GWoJaVTgZBoE95pf0nvhcQcYy1VFadARtJxGMBJ-z9g""}",ES256,2,ssg6hitaZleN,1,invalid,,,2020-07-31 14:54:01,"[{""type"": ""dns"", ""value"": ""foo1.bar.local""}, {""type"": ""dns"", ""value"": ""foo2.bar.local""}]",3,yeh0SqUSirhX,dns,foo1.bar.local,2020-07-31 14:54:01,- removed - ,2020-07-30 14:54:01,6,expired,6,6heNowhBOznl,- removed -,2020-07-31 14:54:01,dns-01,,2020-07-30 14:54:01,2,pending
1,QMSCUs0MH1j1,kid01,"[""mailto:grindsa3@bar.local""]",2020-07-30 14:52:20,"{""crv"": ""P-256"", ""kty"": ""EC"", ""x"": ""-rKMCLQ5QsdEPxLUj_PCNmd1h2OE8ijI8w9KYkqBmuk"", ""y"": ""GWoJaVTgZBoE95pf0nvhcQcYy1VFadARtJxGMBJ-z9g""}",ES256,2,ssg6hitaZleN,1,invalid,,,2020-07-31 14:54:01,"[{""type"": ""dns"", ""value"": ""foo1.bar.local""}, {""type"": ""dns"", ""value"": ""foo2.bar.local""}]",4,cGDmzBkX8DOf,dns,foo2.bar.local,2020-07-31 14:54:02,- removed - ,2020-07-30 14:54:01,6,expired,7,dlg8GJHTph7J,- removed -,2020-07-31 14:54:02,http-01,,2020-07-30 14:54:02,1,invalid
1,QMSCUs0MH1j1,kid01,"[""mailto:grindsa3@bar.local""]",2020-07-30 14:52:20,"{""crv"": ""P-256"", ""kty"": ""EC"", ""x"": ""-rKMCLQ5QsdEPxLUj_PCNmd1h2OE8ijI8w9KYkqBmuk"", ""y"": ""GWoJaVTgZBoE95pf0nvhcQcYy1VFadARtJxGMBJ-z9g""}",ES256,2,ssg6hitaZleN,1,invalid,,,2020-07-31 14:54:01,"[{""type"": ""dns"", ""value"": ""foo1.bar.local""}, {""type"": ""dns"", ""value"": ""foo2.bar.local""}]",4,cGDmzBkX8DOf,dns,foo2.bar.local,2020-07-31 14:54:02,- removed - ,2020-07-30 14:54:01,6,expired,8,A4UUZEXkuOrZ,- removed -,2020-07-31 14:54:02,dns-01,,2020-07-30 14:54:02,2,pending
1,QMSCUs0MH1j1,kid01,"[""mailto:grindsa3@bar.local""]",2020-07-30 14:52:20,"{""crv"": ""P-256"", ""kty"": ""EC"", ""x"": ""-rKMCLQ5QsdEPxLUj_PCNmd1h2OE8ijI8w9KYkqBmuk"", ""y"": ""GWoJaVTgZBoE95pf0nvhcQcYy1VFadARtJxGMBJ-z9g""}",ES256,3,C0I8rUgyHY9c,1,invalid,,,2020-07-31 14:54:46,"[{""type"": ""dns"", ""value"": ""foo1.bar.local""}, {""type"": ""dns"", ""value"": ""foo2.bar.local""}]",5,bJSN4MhrgJnk,dns,foo1.bar.local,2020-07-31 14:54:46,- removed - ,2020-07-30 14:54:46,6,expired,9,vAFz8BARNdor,- removed -,2020-07-31 14:54:46,http-01,,2020-07-30 14:54:46,2,pending
1,QMSCUs0MH1j1,kid01,"[""mailto:grindsa3@bar.local""]",2020-07-30 14:52:20,"{""crv"": ""P-256"", ""kty"": ""EC"", ""x"": ""-rKMCLQ5QsdEPxLUj_PCNmd1h2OE8ijI8w9KYkqBmuk"", ""y"": ""GWoJaVTgZBoE95pf0nvhcQcYy1VFadARtJxGMBJ-z9g""}",ES256,3,C0I8rUgyHY9c,1,invalid,,,2020-07-31 14:54:46,"[{""type"": ""dns"", ""value"": ""foo1.bar.local""}, {""type"": ""dns"", ""value"": ""foo2.bar.local""}]",5,bJSN4MhrgJnk,dns,foo1.bar.local,2020-07-31 14:54:46,- removed - ,2020-07-30 14:54:46,6,expired,10,XOxUp97gAKN6,- removed -,2020-07-31 14:54:46,dns-01,,2020-07-30 14:54:46,2,pending
